,FID,x,y,adr_pelny,ogolem,inside_polygon
38059,38059,19.8835677,50.09073349,ELIASZA RADZIKOWSKIEGO 178,2,True
38060,38060,19.88652967,50.0951029,SOSNOWIECKA 21,2,True
38061,38061,19.88956811,50.09584343,STAWOWA 148,2,True
38070,38070,19.87831432,50.09293178,PASTERNIK 12A,2,True
38071,38071,19.88359596,50.09835919,OJCOWSKA 96,2,True
38072,38072,19.88406829,50.09928488,ŚMIAŁA 3,2,True
38082,38082,19.88434469,50.09973045,SZAROTKI 3,2,True
38099,38099,19.88742506,50.09976343,JÓZEFA CHEŁMOŃSKIEGO 268,2,True
38100,38100,19.88381034,50.10011483,OJCOWSKA 81A,2,True
38101,38101,19.87383713,50.09866973,NA POLACH 108,2,True
38317,38317,19.88654183,50.09539109,STAWOWA 171C,2,True
39026,39026,19.87027338,50.09743252,PASTERNIK 102,2,True
39440,39440,19.88420324,50.09566029,OJCOWSKA 72C,2,True
39551,39551,19.88682426,50.09602278,STAWOWA 171,2,True
39618,39618,19.88417224,50.09975505,SZAROTKI 5,2,True
39646,39646,19.88289837,50.10203908,OJCOWSKA 101,2,True
39738,39738,19.88363962,50.09507315,SOSNOWIECKA 5A,2,True
39768,39768,19.88118187,50.09517331,NA POLACH 10A,2,True
39769,39769,19.87964236,50.0959591,NA POLACH 32,2,True
39861,39861,19.88615523,50.09856414,WALECZNA 11,2,True
39866,39866,19.88371723,50.09966391,OJCOWSKA 77,2,True
39925,39925,19.88221861,50.09821093,OJCOWSKA 53B,2,True
40182,40182,19.87172036,50.09661488,PASTERNIK 84,2,True
40207,40207,19.88129989,50.09410897,OJCOWSKA 23,2,True
40309,40309,19.88744478,50.09771361,DZIELNA 24,2,True
40467,40467,19.88204174,50.09284909,OJCOWSKA 9,2,True
40517,40517,19.87904266,50.09519783,NA POLACH 15,2,True
40531,40531,19.88537359,50.10090724,JÓZEFA CHEŁMOŃSKIEGO 284,2,True
40607,40607,19.88032939,50.09735048,STAWOWA 199,2,True
40653,40653,19.88278309,50.09540781,OJCOWSKA 62,2,True
40660,40660,19.87274434,50.0996992,NA POLACH 126,2,True
40662,40662,19.88036318,50.09762921,STAWOWA 190,2,True
40663,40663,19.88086431,50.09788575,STAWOWA 188,2,True
40785,40785,19.8847437,50.09845803,HOŻA 26,2,True
40787,40787,19.88198088,50.0934496,OJCOWSKA 13,2,True
40789,40789,19.88650786,50.09807219,HOŻA 9,2,True
40790,40790,19.88569615,50.09841906,HOŻA 21,2,True
40791,40791,19.88478509,50.09857788,HOŻA 22,2,True
40800,40800,19.88542883,50.09847328,HOŻA 27,2,True
40801,40801,19.88534443,50.09848383,HOŻA 29,2,True
40912,40912,19.88428525,50.10057529,OJCOWSKA 120A,2,True
41016,41016,19.89027189,50.0973207,JASNOGÓRSKA 69,2,True
41028,41028,19.87241077,50.09840024,PEJZAŻOWA 5,2,True
41047,41047,19.87925027,50.10042403,SZAROTKI 35,2,True
41052,41052,19.87172483,50.10002213,NA POLACH 137,2,True
41053,41053,19.87291996,50.10074388,NA POLACH 134D,2,True
41067,41067,19.88261158,50.09350655,OJCOWSKA 40B,2,True
41073,41073,19.88455431,50.10108864,OJCOWSKA 124B,2,True
41082,41082,19.87759744,50.09443972,PASTERNIK 28,2,True
41103,41103,19.87240877,50.09995145,NA POLACH 130,2,True
41176,41176,19.87725984,50.09725565,NA POLACH 66B,2,True
41205,41205,19.87263402,50.10061992,NA POLACH 134C,2,True
41255,41255,19.87689486,50.09743811,NA POLACH 70D,2,True
41256,41256,19.87657595,50.09725083,NA POLACH 70B,2,True
41412,41412,19.873267,50.09784776,NA POLACH 91,2,True
41452,41452,19.87874759,50.09390886,PASTERNIK 16E,2,True
41491,41491,19.88367385,50.09688174,STAWOWA 176A,2,True
41541,41541,19.88720712,50.09743086,DZIELNA 32,2,True
41542,41542,19.88711916,50.09724809,DZIELNA 38,2,True
41617,41617,19.88565845,50.09512794,SOSNOWIECKA 19C,2,True
41649,41649,19.87824334,50.09984315,SZAROTKI 45B,2,True
42037,42037,19.88813028,50.09842005,DZIELNA 3,2,True
42046,42046,19.88635402,50.09287779,LAZUROWA 3A,2,True
42115,42115,19.88546846,50.09870022,WALECZNA 15C,2,True
42323,42323,19.87504968,50.09775591,NA POLACH 84,2,True
42355,42355,19.88337298,50.09347731,OJCOWSKA 44B,2,True
42412,42412,19.88260774,50.09700177,STAWOWA 187A,2,True
43712,43712,19.87563084,50.09741717,NA POLACH 78,1,True
43718,43718,19.87212133,50.09823195,PEJZAŻOWA 7,1,True
43719,43719,19.87034081,50.09761896,PASTERNIK 104A,1,True
43720,43720,19.88939198,50.09842278,JÓZEFA CHEŁMOŃSKIEGO 253,1,True
43733,43733,19.88124774,50.0919702,OJCOWSKA 3B,1,True
43734,43734,19.88179994,50.09429634,OJCOWSKA 21,1,True
43735,43735,19.88175219,50.09448951,OJCOWSKA 25,1,True
43736,43736,19.88231635,50.09485051,OJCOWSKA 31,1,True
43737,43737,19.87999427,50.09507711,NA POLACH 9A,1,True
43738,43738,19.88178037,50.09524943,NA POLACH 6,1,True
43746,43746,19.88193411,50.09549171,OJCOWSKA 37A,1,True
43747,43747,19.88499532,50.09485322,SOSNOWIECKA 15C,1,True
43748,43748,19.88795586,50.09571412,STAWOWA 159,1,True
43757,43757,19.88215119,50.09716257,STAWOWA 184,1,True
43758,43758,19.88261801,50.10005334,BUDRYSÓW 9,1,True
43759,43759,19.88229686,50.10137167,BUDRYSÓW 25C,1,True
43765,43765,19.88154506,50.09647975,NAWOJOWSKA 10,1,True
43766,43766,19.88240004,50.09282973,OJCOWSKA 24,1,True
43767,43767,19.88263501,50.09276635,OJCOWSKA 22,1,True
43770,43770,19.88389942,50.10165368,OJCOWSKA 95,1,True
43771,43771,19.88442326,50.10155721,OJCOWSKA 128,1,True
43775,43775,19.88256325,50.094214,OJCOWSKA 50,1,True
43782,43782,19.88639455,50.0999207,JÓZEFA CHEŁMOŃSKIEGO 271,1,True
43927,43927,19.8830518,50.09681372,OJCOWSKA 47,1,True
43928,43928,19.88370251,50.0955244,OJCOWSKA 64,1,True
43929,43929,19.8833715,50.09635283,OJCOWSKA 78,1,True
43940,43940,19.87736751,50.09374709,PASTERNIK 20,1,True
43941,43941,19.87980665,50.09467594,NA POLACH 7,1,True
43942,43942,19.88333458,50.09423116,OJCOWSKA 52,1,True
43943,43943,19.88266001,50.09298888,OJCOWSKA 26,1,True
43944,43944,19.87021225,50.09767643,PASTERNIK 106,1,True
43945,43945,19.86933601,50.0985492,PASTERNIK 114A,1,True
43952,43952,19.8827445,50.10020409,BUDRYSÓW 11,1,True
43954,43954,19.88490758,50.10182761,CHMURNA 3,1,True
43965,43965,19.88530093,50.09468527,SOSNOWIECKA 17,1,True
44356,44356,19.87970676,50.09567024,NA POLACH 26B,1,True
45031,45031,19.88290554,50.09364031,OJCOWSKA 44,1,True
45108,45108,19.87987757,50.09896643,STAWOWA 202B,1,True
45165,45165,19.88265316,50.10197597,BUDRYSÓW 29B,1,True
45180,45180,19.88132356,50.09651032,NAWOJOWSKA 12,1,True
45262,45262,19.87932583,50.09517865,NA POLACH 13A,1,True
45282,45282,19.87112017,50.09723221,PASTERNIK 94,1,True
45406,45406,19.88244844,50.09321935,OJCOWSKA 30,1,True
45407,45407,19.88277577,50.09332734,OJCOWSKA 38,1,True
45432,45432,19.88404353,50.10110875,OJCOWSKA 91,1,True
45458,45458,19.88202856,50.09975264,SZAROTKI 11,1,True
45517,45517,19.88105826,50.09616129,NAWOJOWSKA 13,1,True
45534,45534,19.88080482,50.09735479,STAWOWA 197,1,True
45580,45580,19.88016972,50.09571807,NA POLACH 24,1,True
45878,45878,19.87991379,50.09581207,NA POLACH 26C,1,True
46087,46087,19.87809711,50.0976519,STAWOWA 217B,1,True
46093,46093,19.88256369,50.09362992,OJCOWSKA 40A,1,True
46176,46176,19.88793988,50.09933472,JÓZEFA CHEŁMOŃSKIEGO 262,1,True
46245,46245,19.88434776,50.10033057,OJCOWSKA 120,1,True
46247,46247,19.87898145,50.09875409,STAWOWA 208A,1,True
46343,46343,19.88077826,50.09605045,NAWOJOWSKA 22,1,True
46448,46448,19.87700109,50.09749488,NA POLACH 70E,1,True
46477,46477,19.88298789,50.09365391,OJCOWSKA 44A,1,True
46520,46520,19.87546671,50.09842592,STAWOWA 241,1,True
46611,46611,19.88231219,50.09987559,SZAROTKI 12,1,True
46671,46671,19.87930669,50.09620398,NA POLACH 36B,1,True
46672,46672,19.87939262,50.09624548,NA POLACH 36C,1,True
46701,46701,19.88721939,50.09722075,DZIELNA 40,1,True
46779,46779,19.87309217,50.09873941,PEJZAŻOWA 1,1,True
46950,46950,19.88249755,50.09673891,STAWOWA 187D,1,True
46951,46951,19.88241887,50.09676149,STAWOWA 187E,1,True
46952,46952,19.88234022,50.09678321,STAWOWA 187F,1,True
47521,47521,19.88990578,50.08795464,ELIASZA RADZIKOWSKIEGO 152,1,True
47523,47523,19.88607986,50.0949379,SOSNOWIECKA 19B,1,True
47591,47591,19.88875323,50.10007539,STELMACHÓW 281A,1,True
