,Unnamed: 0,origin_x,origin_y,destination_x,destination_y,treq,success,n_itineraries,duration,walkDistance,transfers,transitTime,waitingTime,modes,PT_fare,u_PT
45,45,19.88948,50.01844,19.96285314488492,50.06240333080091,2024-03-28 08:08:51,True,3.0,2152.0,541.516278187058,0.0,1680.0,2.0,"[['TRAM', 1680, 8862], ['WALK', 470, 541]]",2.764,11.816844956091172
46,46,19.88948,50.01844,19.95169697059737,49.98434358424456,2024-03-28 07:55:13,True,3.0,2111.0,721.0257894667213,1.0,1500.0,29.0,"[['WALK', 50, 43], ['BUS', 840, 4602], ['WALK', 93, 120], ['BUS', 660, 3547], ['WALK', 439, 557]]",2.575,13.98398377188921
47,47,19.88948,50.01844,19.90989549802081,50.026607780825934,2024-03-28 08:11:26,True,3.0,692.0,579.2948721643539,0.0,180.0,2.0,"[['TRAM', 180, 1596], ['WALK', 510, 578]]",1.189,5.212220087625398
48,48,19.88948,50.01844,19.86111742050041,50.00647464250644,2024-03-28 07:47:21,True,3.0,768.0,396.59190976430705,0.0,420.0,2.0,"[['WALK', 199, 201], ['BUS', 420, 2678], ['WALK', 147, 194]]",1.4409999999999998,5.238452806958458
49,49,19.88948,50.01844,19.96285314488492,50.06240333080091,2024-03-28 08:02:41,True,3.0,2152.0,541.516278187058,0.0,1680.0,2.0,"[['TRAM', 1680, 8862], ['WALK', 470, 541]]",2.764,11.816844956091172
50,50,19.88948,50.01844,19.971092603205765,50.06354811678362,2024-03-28 07:59:12,True,3.0,2179.0,533.3100827008595,0.0,1740.0,2.0,"[['TRAM', 1740, 9627], ['WALK', 437, 533]]",2.827,12.04197548242168
51,51,19.88948,50.01844,19.90664300481499,50.03013095170665,2024-03-28 08:06:12,True,3.0,597.0,478.4387443512949,0.0,180.0,2.0,"[['TRAM', 180, 1596], ['WALK', 415, 478]]",1.189,4.623892675382553
52,52,19.88948,50.01844,19.96797653053629,50.06896792693728,2024-03-28 08:13:57,True,3.0,2131.0,439.77694735619343,0.0,1740.0,2.0,"[['TRAM', 1740, 9627], ['WALK', 389, 439]]",2.827,11.496365526244462
53,53,19.88948,50.01844,19.96285314488492,50.06240333080091,2024-03-28 07:49:01,True,3.0,2152.0,541.516278187058,0.0,1680.0,2.0,"[['TRAM', 1680, 8862], ['WALK', 470, 541]]",2.764,11.816844956091172
54,54,19.88948,50.01844,19.90664300481499,50.03013095170665,2024-03-28 07:58:51,True,3.0,597.0,478.4387443512949,0.0,180.0,2.0,"[['TRAM', 180, 1596], ['WALK', 415, 478]]",1.189,4.623892675382553
55,55,19.88948,50.01844,19.8904281607904,50.01147754141,2024-03-28 08:07:55,True,3.0,725.0,694.6383984830309,0.0,120.0,2.0,"[['WALK', 50, 43], ['BUS', 120, 842], ['WALK', 553, 650]]",1.126,5.612057324484347
56,56,19.88948,50.01844,19.93849826408901,50.06247416717434,2024-03-28 07:54:53,True,3.0,1848.0,499.54880449282757,0.0,1380.0,2.0,"[['TRAM', 1380, 7293], ['WALK', 466, 498]]",2.449,10.207034692874828
57,57,19.88948,50.01844,19.90664300481499,50.03013095170665,2024-03-28 08:09:56,True,3.0,597.0,478.4387443512949,0.0,180.0,2.0,"[['TRAM', 180, 1596], ['WALK', 415, 478]]",1.189,4.623892675382553
