,origin_x,origin_y,destination_x,destination_y,treq,success,n_itineraries,duration,walkDistance,transfers,transitTime,waitingTime,modes
107,19.88948,50.01844,19.98485702298316,50.08796386842873,2024-03-28 07:52:50,True,3.0,2847.0,635.5597443561347,1.0,2280.0,56.0,"[['TRAM', 1680, 8862], ['WALK', 186, 244], ['BUS', 600, 3324], ['WALK', 325, 390]]"
108,19.88948,50.01844,20.01864836410917,50.01189488594205,2024-03-28 07:57:05,True,3.0,2560.0,424.60880450412117,1.0,2160.0,42.0,"[['TRAM', 1680, 9121], ['WALK', 80, 103], ['BUS', 480, 3094], ['WALK', 278, 321]]"
109,19.88948,50.01844,19.8904281607904,50.01147754141,2024-03-28 07:51:50,True,3.0,725.0,694.6383984830309,0.0,120.0,2.0,"[['WALK', 50, 43], ['BUS', 120, 842], ['WALK', 553, 650]]"
110,19.88948,50.01844,19.8944574398021,50.00234556464199,2024-03-28 08:11:13,True,3.0,946.0,636.265285705758,0.0,420.0,2.0,"[['WALK', 50, 43], ['BUS', 420, 2517], ['WALK', 474, 592]]"
111,19.88948,50.01844,20.00775520826945,50.09150013954137,2024-03-28 07:57:07,True,3.0,2448.0,313.77314284723224,0.0,2160.0,2.0,"[['WALK', 50, 43], ['BUS', 2160, 13550], ['WALK', 236, 270]]"
112,19.88948,50.01844,19.97507830224864,50.03920911861551,2024-03-28 08:04:22,True,3.0,2266.0,1383.6223157741047,0.0,1140.0,2.0,"[['WALK', 50, 43], ['BUS', 1140, 6366], ['WALK', 1074, 1339]]"
113,19.88948,50.01844,19.896832819715183,50.02338990498389,2024-03-28 07:56:49,True,3.0,478.0,439.95178946833465,0.0,120.0,2.0,"[['TRAM', 120, 1182], ['WALK', 356, 439]]"
114,19.88948,50.01844,19.86517482021967,49.99033788575227,2024-03-28 07:47:51,True,3.0,960.0,124.51618796427199,0.0,840.0,2.0,"[['WALK', 50, 43], ['BUS', 840, 4939], ['WALK', 68, 81]]"
115,19.88948,50.01844,19.93849826408901,50.06247416717434,2024-03-28 07:59:56,True,3.0,1848.0,499.54880449282757,0.0,1380.0,2.0,"[['TRAM', 1380, 7293], ['WALK', 466, 498]]"
116,19.88948,50.01844,19.8904281607904,50.01147754141,2024-03-28 08:04:43,True,3.0,725.0,694.6383984830309,0.0,120.0,2.0,"[['WALK', 50, 43], ['BUS', 120, 842], ['WALK', 553, 650]]"
117,19.88948,50.01844,19.750020781917765,50.04298906178825,2024-03-28 08:07:45,True,3.0,3359.0,1581.146240596785,1.0,1920.0,211.0,"[['TRAM', 720, 4704], ['WALK', 151, 196], ['BUS', 1200, 11205], ['WALK', 1077, 1384]]"
118,19.88948,50.01844,19.947149505549167,50.06925456517236,2024-03-28 08:04:26,True,3.0,2038.0,723.0248270602209,0.0,1440.0,2.0,"[['TRAM', 1440, 7785], ['WALK', 596, 722]]"
119,19.88948,50.01844,19.903453043152297,49.986252508501714,2024-03-28 08:13:13,True,3.0,2086.0,108.26745864231023,1.0,1380.0,602.0,"[['WALK', 50, 43], ['BUS', 960, 5534], ['BUS', 420, 2944], ['WALK', 54, 64]]"
